starid,Prot,ref,source,source_id,Porb,eccentricity,semi_amplitude_primary,massfunc
KIC7093589,14.59,santos21,kepler,Gaia DR3 2104785114667528704,727.4990761051729,0.2067619878589848,,
KIC7101855,2.63,santos21,kepler,Gaia DR3 2105519244838487424,301.60599185696486,0.6310229442803758,,
KIC7104582,15.33,santos21,kepler,Gaia DR3 2102569667458555520,10.70192553533819,0.1712018473463038,7.317727968454593,0.0004155474286526429
KIC7118463,12.7,santos21,kepler,Gaia DR3 2125781904111089920,9.82354825881304,0.1752262855538343,25.185209861703665,0.015516675380666294
KIC7137013,11.45,santos21,kepler,Gaia DR3 2077195378636299776,174.3893275743428,0.172364934440686,,
KIC7173281,20.81,santos21,kepler,Gaia DR3 2116752130504314240,284.22625776069856,0.3733623883634859,,
KIC7175788,11.21,santos21,kepler,Gaia DR3 2104790474786481792,549.2863079176844,0.0959146178484375,,
KIC7180954,8.86,santos21,kepler,Gaia DR3 2104264461552727680,540.9689969273295,0.5955880377506715,,
KIC7183136,12.99,santos21,kepler,Gaia DR3 2105716293637256192,65.53727400635275,0.3855176299684811,24.243364240117927,0.07600783550331656
KIC7206252,10.08,santos21,kepler,Gaia DR3 2077815739408196224,469.440094808883,0.2258818290454608,,
KIC7206837,4.05,santos21,kepler,Gaia DR3 2077773790469159680,4.050122845439249,0.0022794333724134,21.6088336947716,0.004234166189730537
KIC7285775,8.43,santos21,kepler,Gaia DR3 2077810280511645440,448.70301378616546,0.3661347465517119,,
KIC7286116,24.5,santos21,kepler,Gaia DR3 2077811238284119680,431.66723073595966,0.2596919588555408,,
KIC7365610,32.79,santos21,kepler,Gaia DR3 2125847771728348032,661.3747374899125,0.0849026954310524,,
KIC7373508,18.73,santos21,kepler,Gaia DR3 2077967545036376320,53.66647680429252,0.3277955850664583,23.02261870197669,0.057217018793921076
KIC7381552,6.47,santos21,kepler,Gaia DR3 2078711295934045696,613.0283899905273,0.1299624562539266,,
KIC7418476,3.0,santos21,kepler,Gaia DR3 2104856067527133440,702.5953861159335,0.064914920565501,,
KIC7431833,15.11,santos21,kepler,Gaia DR3 2102607222652707840,11.294939626513411,0.0240443323743721,22.012617265544986,0.012471863297596301
KIC7432941,12.8,santos21,kepler,Gaia DR3 2102595746500233472,767.5101667133441,0.1961597569736627,,
KIC7440048,13.63,santos21,kepler,Gaia DR3 2102044341420544256,13.79558197812294,0.1053267654197764,60.12582789332695,0.30553786460435434
KIC7446038,7.71,santos21,kepler,Gaia DR3 2125820623233055616,1507.38437821281,0.5343821206206416,,
KIC7450736,3.9,santos21,kepler,Gaia DR3 2077827043762107136,3.821970555199259,0.0765181713518143,32.91146447734415,0.013993058386752967
KIC7462984,1.79,santos21,kepler,Gaia DR3 2077262105249669120,11.377733195169547,0.1755488231544605,5.203127195233725,0.00015844064473216025
