wavelength_470712060,flux_470712060,wavlength_139202084,flux_139202084,wavelength_392605166,flux_392605166,wavelength_455405241,flux_455405241
3946.951,0.8077028,3940.615,0.7301965,3941.342,0.8044268,3942.1736,0.7816705
3947.86,0.79288197,3941.523,0.7586371,3942.25,0.8189342,3943.0815,0.7725015
3948.7695,0.7941815,3942.4312,0.78107965,3943.1582,0.8140943,3943.9897,0.78947484
3949.6792,0.83885926,3943.3396,0.7839941,3944.0667,0.84080833,3944.8982,0.84152716
3950.589,0.8403622,3944.2483,0.7735519,3944.9753,0.86210275,3945.807,0.87368894
3951.499,0.8283071,3945.157,0.794071,3945.884,0.8953426,3946.7156,0.877931
3952.4094,0.8092774,3946.066,0.81634367,3946.793,0.893003,3947.6245,0.8651072
3953.3198,0.81213284,3946.975,0.8318744,3947.7021,0.88397133,3948.5337,0.86211544
3954.2305,0.80787677,3947.8845,0.83199304,3948.6116,0.8712625,3949.443,0.8929298
3955.1414,0.84018725,3948.7942,0.81648606,3949.5212,0.90881854,3950.3528,0.9004122
3956.0525,0.8257837,3949.704,0.83594006,3950.4312,0.9108732,3951.2627,0.882381
3956.9639,0.80463314,3950.614,0.8652755,3951.341,0.9017264,3952.1726,0.87430245
3957.8755,0.87287563,3951.5244,0.84116435,3952.2515,0.90639037,3953.083,0.878845
3958.787,0.84284186,3952.4348,0.8122922,3953.1619,0.89277846,3953.9934,0.90055156
3959.699,0.8006775,3953.3455,0.82490796,3954.0725,0.9189277,3954.904,0.8988907
3960.611,0.74980915,3954.2563,0.8400116,3954.9834,0.8652765,3955.815,0.8615583
3961.5234,0.6417994,3955.1675,0.8596304,3955.8945,0.8699366,3956.726,0.856356
3962.436,0.6388228,3956.0789,0.82301927,3956.806,0.85177416,3957.6375,0.87886274
3963.3489,0.59663236,3956.9905,0.7881431,3957.7175,0.8929002,3958.549,0.8785955
3964.262,0.54748493,3957.902,0.7964052,3958.6292,0.90225047,3959.4607,0.8875415
3965.175,0.4729849,3958.814,0.7951955,3959.541,0.8647761,3960.3726,0.8282809
3966.0884,0.4141846,3959.726,0.7838589,3960.4531,0.8178309,3961.2847,0.76142645
3967.0022,0.38048285,3960.6384,0.74776757,3961.3655,0.7569648,3962.197,0.6966548
3967.916,0.31511933,3961.551,0.7180583,3962.278,0.72904813,3963.1096,0.65708077
3968.83,0.30119652,3962.4639,0.6725631,3963.191,0.69904846,3964.0225,0.60670984
3969.7441,0.3438386,3963.377,0.6208508,3964.104,0.643149,3964.9355,0.53718597
3970.6587,0.38334146,3964.29,0.60822815,3965.017,0.5643169,3965.8486,0.40616184
3971.5735,0.44072384,3965.2034,0.56977296,3965.9304,0.45342693,3966.762,0.3052383
3972.4883,0.5024669,3966.1172,0.49319413,3966.8442,0.35502318,3967.6758,0.23351985
3973.4033,0.57530755,3967.031,0.43534568,3967.758,0.2891581,3968.5896,0.20950104
3974.3186,0.63679004,3967.945,0.41862088,3968.672,0.281886,3969.5037,0.25417265
3975.2341,0.6177401,3968.8591,0.3693182,3969.5862,0.3212987,3970.4177,0.33085427
3976.15,0.71656686,3969.7737,0.47464263,3970.5007,0.39452046,3971.3323,0.4425886
3977.066,0.77131695,3970.6885,0.45774886,3971.4155,0.4891125,3972.247,0.5278217
